"","@id","@type","name","alternateName"
"1","/languages/1","http://schema.org/Language","Arabic","ara"
"2","/languages/2","http://schema.org/Language","Armenian","arm"
"3","/languages/3","http://schema.org/Language","Russian","rus"
"4","/languages/4","http://schema.org/Language","Hungarian","hun"
"5","/languages/5","http://schema.org/Language","French","fra"
"6","/languages/6","http://schema.org/Language","Spanish, Castilian","spa"
"7","/languages/7","http://schema.org/Language","English","eng"
"8","/languages/8","http://schema.org/Language","Italian","ita"
"9","/languages/9","http://schema.org/Language","Estonian","est"
"10","/languages/10","http://schema.org/Language","Serbian","srp"
"11","/languages/11","http://schema.org/Language","Bosnian","bos"
"12","/languages/12","http://schema.org/Language","Finnish","fin"
"13","/languages/13","http://schema.org/Language","German","ger"
"14","/languages/14","http://schema.org/Language","Polish","pol"
"15","/languages/15","http://schema.org/Language","Georgian","geo"
"16","/languages/16","http://schema.org/Language","Czech","cze"
"17","/languages/17","http://schema.org/Language","Croatian","hrv"
"18","/languages/18","http://schema.org/Language","Macedonian","mkd"
"19","/languages/19","http://schema.org/Language","Montenegrin","cnr"
"20","/languages/20","http://schema.org/Language","Ukrainian","ukr"
"21","/languages/21","http://schema.org/Language","Romanian","rum"
"22","/languages/22","http://schema.org/Language","Moldavian","mol"
"23","/languages/23","http://schema.org/Language","Abkhazian","abk"
"24","/languages/24","http://schema.org/Language","Azerbaijani","aze"
"25","/languages/25","http://schema.org/Language","Belarusian","bel"
"26","/languages/26","http://schema.org/Language","Lithuanian","lit"
"27","/languages/27","http://schema.org/Language","blr","blr"
"28","/languages/28","http://schema.org/Language","mne","mne"
"29","/languages/29","http://schema.org/Language","mda","mda"
"30","/languages/30","http://schema.org/Language","lva","lva"
"31","/languages/31","http://schema.org/Language","srb","srb"
"32","/languages/32","http://schema.org/Language","rou","rou"
"33","/languages/33","http://schema.org/Language","deu","deu"
"34","/languages/34","http://schema.org/Language","ltu","ltu"
"35","/languages/35","http://schema.org/Language","Latvian","lav"
"36","/languages/36","http://schema.org/Language","Slovak","svk"
"37","/languages/37","http://schema.org/Language","bgr","bgr"
"38","/languages/38","http://schema.org/Language","Swedish","swe"
