thread,favorite_count_mean,favorite_count_sum,favorite_count_var,user_mentions_mean,user_mentions_sum,user_mentions_var,media_count_mean,media_count_sum,media_count_var,sensitive_mean,sensitive_sum,sensitive_var,has_place_mean,has_place_sum,has_place_var,has_coords_mean,has_coords_sum,has_coords_var,retweet_count_mean,retweet_count_sum,retweet_count_var,hashtags_count_mean,hashtags_count_sum,hashtags_count_var,hashtags_count_shared,urls_count_mean,urls_count_sum,urls_count_var,user.tweets_count_mean,user.tweets_count_sum,user.tweets_count_var,is_rumor,thread_length,user.has_bg_img_mean,user.has_bg_img_sum,user.has_bg_img_var,has_quest_mean,has_quest_sum,has_quest_var,has_exclaim_mean,has_exclaim_sum,has_exclaim_var,has_quest_or_exclaim_mean,has_quest_or_exclaim_sum,has_quest_or_exclaim_var,user.default_pic_mean,user.default_pic_sum,user.default_pic_var,has_smile_emoji_mean,has_smile_emoji_sum,has_smile_emoji_var,user.verified_mean,user.verified_sum,user.verified_var,user.name_length_mean,user.name_length_sum,user.name_length_var,user.handle_length_mean,user.handle_length_sum,user.handle_length_var,user.profile_sbcolor_mean,user.profile_sbcolor_sum,user.profile_sbcolor_var,user.profile_bgcolor_mean,user.profile_bgcolor_sum,user.profile_bgcolor_var,hasperiod_mean,hasperiod_sum,hasperiod_var,number_punct_mean,number_punct_sum,number_punct_var,negativewordcount_mean,negativewordcount_sum,negativewordcount_var,positivewordcount_mean,positivewordcount_sum,positivewordcount_var,capitalratio_mean,capitalratio_sum,capitalratio_var,contentlength_mean,contentlength_sum,contentlength_var,sentimentscore_mean,sentimentscore_sum,sentimentscore_var,Noun_mean,Noun_sum,Noun_var,Verb_mean,Verb_sum,Verb_var,Adjective_mean,Adjective_sum,Adjective_var,Pronoun_mean,Pronoun_sum,Pronoun_var,Adverb_mean,Adverb_sum,Adverb_var,src.followers_count,src.listed_count,src.user_verified,created,src.created_at,src.tweets_total,first_resp,last_resp,resp_var,time_to_first_resp,time_to_last_resp
521310417696858112,4.444444444444445,120,260.17948717948724,1.0,27,0.23076923076923078,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,49.48148148148148,1336,29927.182336182334,0.07407407407407407,2,0.07122507122507121,0.9259259259259259,0.0,0,0.0,59927.77777777778,1618050,1954983275.7948723,1,27,0.9259259259259259,25,0.07122507122507121,0.14814814814814814,4,0.13105413105413108,0.07407407407407407,2,0.07122507122507121,0.18518518518518517,5,0.1566951566951567,0.4074074074074074,11,0.2507122507122508,0.0,0,0.0,0.0,0,0.0,9.88888888888889,267,9.41025641025641,9.148148148148149,247,33.207977207977216,13660334.222222222,368829024,13960274293222.717,9981623.074074075,269503823,34111746156101.773,1.037037037037037,28,0.8831908831908831,3.962962962962963,107,6.1908831908831905,0.0,0,0.0,0.037037037037037035,1,0.03703703703703704,0.08307595714147259,2.24305084281976,0.0010413189054216264,16.555555555555557,447,35.87179487179489,0.09378600823045267,2.5322222222222224,0.06043858112623545,8.925925925925926,241,15.609686609686603,3.5185185185185186,95,2.4131054131054137,1.0740740740740742,29,0.5327635327635328,0.37037037037037035,10,0.47293447293447294,0.0,0,0.0,1456,1,0,1413125063000.0,1353617124000.0,29,1413125408000.0,1413139888000.0,18057733455621.305,345000.0,14825000.0
521346721226711040,3.4444444444444446,93,266.6410256410256,1.4444444444444444,39,0.4102564102564103,0.4074074074074074,11,0.25071225071225073,0.0,0,0.0,0.07407407407407407,2,0.07122507122507123,0.0,0,0.0,21.51851851851852,581,12236.182336182337,0.0,0,0.0,0.962962962962963,0.07407407407407407,2,0.07122507122507123,54523.7037037037,1472140,3243172878.6780634,1,27,0.9629629629629629,26,0.037037037037037035,0.2222222222222222,6,0.17948717948717946,0.07407407407407407,2,0.07122507122507121,0.2962962962962963,8,0.2165242165242165,0.18518518518518517,5,0.15669515669515668,0.0,0,0.0,0.0,0,0.0,10.185185185185185,275,6.156695156695155,9.666666666666666,261,16.538461538461537,9111718.074074075,246016388,50540871526220.07,9257458.407407407,249951377,32110135813292.17,1.7407407407407407,47,3.3532763532763528,5.7407407407407405,155,20.43019943019943,0.1111111111111111,3,0.10256410256410256,0.07407407407407407,2,0.07122507122507121,0.1354436010086782,3.6569772272343113,0.01168345093125218,10.444444444444445,282,17.948717948717952,-0.05648148148148149,-1.5250000000000001,0.057288105413105424,5.7407407407407405,155,6.8917378917378915,1.9259259259259258,52,1.9173789173789173,0.6296296296296297,17,0.7037037037037037,0.48148148148148145,13,0.9515669515669516,0.0,0,0.0,7416,37,0,1413133719000.0,1336970792000.0,10431,1413134349000.0,1413139684000.0,3538126899408.283,630000.0,5965000.0
521350916872876033,5.2631578947368425,100,432.53801169590645,1.6842105263157894,32,0.7836257309941521,0.10526315789473684,2,0.09941520467836257,0.0,0,0.0,0.15789473684210525,3,0.14035087719298245,0.15789473684210525,3,0.14035087719298245,13.157894736842104,250,3234.2514619883036,0.05263157894736842,1,0.05263157894736842,0.8947368421052632,0.0,0,0.0,11155.368421052632,211952,141024928.8011696,1,19,1.0,19,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.631578947368421,12,0.24561403508771928,0.0,0,0.0,0.0,0,0.0,10.368421052631579,197,9.578947368421053,10.157894736842104,193,18.029239766081872,10355563.263157895,196755702,31452962779757.312,10612760.47368421,201642449,19989524154708.047,0.15789473684210525,3,0.2514619883040935,1.368421052631579,26,10.356725146198832,0.05263157894736842,1,0.05263157894736841,0.0,0,0.0,0.15252722804950727,2.898017332940638,0.012903619890918391,7.7368421052631575,147,25.426900584795323,-0.03684210526315789,-0.7,0.02356725146198831,4.684210526315789,89,15.116959064327482,1.631578947368421,31,1.5789473684210527,0.47368421052631576,9,0.5964912280701753,0.10526315789473684,2,0.09941520467836257,0.0,0,0.0,469,2,0,1413134719000.0,1397740966000.0,2181,1413134948000.0,1413137289000.0,493969941358.02466,229000.0,2570000.0
521358118597689344,8.2,41,336.2,2.4,12,0.8,0.0,0,0.0,0.0,0,0.0,0.2,1,0.20000000000000004,0.0,0,0.0,39.4,197,7663.800000000001,0.0,0,0.0,0.8,0.4,2,0.3,27019.8,135099,1274574317.7,1,5,0.6,3,0.3,0.2,1,0.2,0.0,0,0.0,0.2,1,0.2,0.4,2,0.3,0.0,0,0.0,0.0,0,0.0,9.4,47,2.3,13.4,67,2.3,11766221.2,58831106,47539517494335.21,7583988.6,37919943,47930735904108.3,1.6,8,1.2999999999999998,4.6,23,11.8,0.0,0,0.0,0.0,0,0.0,0.09997635411481821,0.49988177057409106,0.0025486553268450484,11.4,57,36.8,-0.15250000000000002,-0.7625000000000002,0.05128125000000002,6.4,32,4.3,2.0,10,4.0,0.8,4,0.7,0.0,0,0.0,0.0,0,0.0,232347,2165,0,1413136436000.0,1236893953000.0,83232,1413136768000.0,1413141940000.0,4670896687500.0,332000.0,5504000.0
521359454672269313,43.84,1096,43972.390000000014,1.52,38,0.5099999999999999,0.12,3,0.11,0.04,1,0.04,0.0,0,0.0,0.0,0,0.0,155.12,3878,561617.11,0.0,0,0.0,0.96,0.12,3,0.10999999999999999,50321.0,1258025,4314412385.5,1,25,0.88,22,0.10999999999999999,0.12,3,0.10999999999999999,0.04,1,0.04,0.16,4,0.13999999999999999,0.24,6,0.18999999999999995,0.0,0,0.0,0.0,0,0.0,9.92,248,10.493333333333332,10.12,253,23.44333333333333,10331705.44,258292636,51385033357632.02,6423577.4,160589435,31122663726339.254,1.16,29,2.5566666666666666,4.12,103,19.61,0.12,3,0.11,0.16,4,0.14,0.12445928444204102,3.1114821110510253,0.012976314586354952,10.12,253,36.27666666666668,-0.027190476190476192,-0.6797619047619048,0.10557134353741497,5.04,126,14.12333333333333,2.28,57,2.1266666666666665,0.52,13,0.7599999999999998,0.24,6,0.3566666666666667,0.0,0,0.0,241577,697,0,1413136755000.0,1391693223000.0,3005,1413136814000.0,1413140793000.0,1186620914930.5557,59000.0,4038000.0
521359863884967936,2.8,28,37.51111111111111,1.4,14,0.711111111111111,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,15.3,153,1502.9,0.0,0,0.0,0.9,0.1,1,0.10000000000000002,63990.3,639903,9125627952.455557,1,10,0.9,9,0.1,0.1,1,0.10000000000000002,0.0,0,0.0,0.1,1,0.10000000000000002,0.2,2,0.17777777777777778,0.0,0,0.0,0.0,0,0.0,9.6,96,3.5999999999999996,9.1,91,21.43333333333333,11008817.5,110088175,49711588746316.28,5138862.3,51388623,39036286603720.23,1.5,15,0.9444444444444444,2.8,28,4.4,0.0,0,0.0,0.1,1,0.1,0.11548093668475326,1.1548093668475325,0.007337314302242548,10.7,107,46.45555555555555,-0.28500000000000003,-2.85,0.15169444444444444,5.2,52,11.733333333333333,2.2,22,3.066666666666666,0.8,8,0.6222222222222223,0.3,3,0.8999999999999999,0.0,0,0.0,28220,264,0,1413136852000.0,1307785997000.0,33646,1413136893000.0,1413137856000.0,129095358024.69138,41000.0,1004000.0
521360486387175424,41.77777777777778,376,11760.694444444443,1.4444444444444444,13,1.0277777777777777,0.4444444444444444,4,0.2777777777777778,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,94.33333333333333,849,66762.75,0.0,0,0.0,0.8888888888888888,0.0,0,0.0,19262.222222222223,173360,545503679.1944444,1,9,0.7777777777777778,7,0.19444444444444445,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.3333333333333333,3,0.25,0.0,0,0.0,0.0,0,0.0,10.555555555555555,95,4.027777777777778,10.222222222222221,92,49.44444444444444,10546222.0,94915998,45892670362287.75,8093536.0,72841824,38960641284384.0,1.7777777777777777,16,2.1944444444444446,6.222222222222222,56,32.69444444444444,0.0,0,0.0,0.1111111111111111,1,0.11111111111111113,0.08717323946771233,0.784559155209411,0.0005448487998331569,12.88888888888889,116,48.361111111111114,-0.11527777777777778,-1.0375,0.04569444444444445,7.0,63,17.5,2.3333333333333335,21,3.0,0.2222222222222222,2,0.19444444444444445,0.3333333333333333,3,0.5,0.0,0,0.0,115868,84,0,1413137001000.0,1373859148000.0,728,1413137072000.0,1413162836000.0,101960689359375.0,71000.0,25835000.0
521361857810939905,7.071428571428571,99,626.3791208791209,1.2142857142857142,17,0.33516483516483514,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,19.142857142857142,268,5130.285714285715,0.0,0,0.0,0.9285714285714286,0.07142857142857142,1,0.07142857142857142,8503.142857142857,119044,349060321.36263746,1,14,1.0,14,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.5714285714285714,8,0.26373626373626374,0.0,0,0.0,0.0,0,0.0,11.642857142857142,163,9.939560439560442,11.0,154,14.615384615384615,10817963.785714285,151451493,37244693872707.875,9306637.642857144,130292927,30608733479823.168,1.2142857142857142,17,0.7967032967032964,2.857142857142857,40,3.824175824175824,0.07142857142857142,1,0.07142857142857142,0.0,0,0.0,0.04995419152434775,0.6993586813408684,0.0004218873612749243,13.428571428571429,188,26.879120879120876,-0.060714285714285735,-0.8500000000000003,0.11083791208791208,6.142857142857143,86,5.824175824175824,3.142857142857143,44,1.8241758241758244,0.8571428571428571,12,0.13186813186813184,0.07142857142857142,1,0.07142857142857142,0.0,0,0.0,118697,470,0,1413137327000.0,1378538181000.0,7496,1413137349000.0,1413184816000.0,174596066213017.72,22000.0,47489000.0
521367917322338304,219.68421052631578,4174,903567.5614035086,1.2105263157894737,23,0.28654970760233905,0.0,0,0.0,0.0,0,0.0,0.05263157894736842,1,0.05263157894736841,0.05263157894736842,1,0.05263157894736841,548.2105263157895,10416,5693971.50877193,0.10526315789473684,2,0.09941520467836257,0.8947368421052632,0.0,0,0.0,40684.89473684211,773013,967947304.7660817,1,19,0.8947368421052632,17,0.09941520467836255,0.05263157894736842,1,0.05263157894736842,0.3157894736842105,6,0.2280701754385965,0.3684210526315789,7,0.24561403508771928,0.2631578947368421,5,0.2046783625730994,0.0,0,0.0,0.05263157894736842,1,0.05263157894736842,10.0,190,6.444444444444445,9.157894736842104,174,21.58479532163743,14049331.368421054,266937296,16013166603987.576,7956004.421052632,151164084,45714140718148.03,0.47368421052631576,9,1.04093567251462,2.3157894736842106,44,11.561403508771932,0.0,0,0.0,0.3157894736842105,6,0.22807017543859645,0.11336002817748816,2.153840535372275,0.013515960831374971,7.2105263157894735,137,42.61988304093566,0.30083333333333334,5.715833333333333,0.15331875,3.263157894736842,62,3.093567251461989,1.263157894736842,24,2.3157894736842106,0.5263157894736842,10,0.7076023391812866,0.5263157894736842,10,0.4853801169590643,0.0,0,0.0,488496,1623,1,1413138772000.0,1363102442000.0,509,1413138810000.0,1413240112000.0,537696560691358.0,38000.0,101340000.0
521369179392581632,5.066666666666666,76,294.2095238095238,1.0666666666666667,16,0.20952380952380953,0.06666666666666667,1,0.06666666666666667,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,7.866666666666666,118,911.5523809523809,0.0,0,0.0,0.9333333333333333,0.4,6,0.2571428571428572,23806.4,357096,880429860.1142856,1,15,0.9333333333333333,14,0.06666666666666667,0.06666666666666667,1,0.06666666666666667,0.13333333333333333,2,0.12380952380952381,0.13333333333333333,2,0.12380952380952381,0.4666666666666667,7,0.26666666666666666,0.0,0,0.0,0.0,0,0.0,10.933333333333334,164,4.495238095238095,10.0,150,14.714285714285717,14430331.8,216454977,4196309867913.6006,10352484.266666668,155287264,23463916501804.5,1.0666666666666667,16,0.20952380952380953,4.866666666666666,73,14.695238095238096,0.0,0,0.0,0.4666666666666667,7,0.26666666666666666,0.10308554714548199,1.54628320718223,0.011186333834927712,8.6,129,22.25714285714286,0.32625,4.89375,0.18185379464285714,4.066666666666666,61,3.066666666666667,1.2666666666666666,19,1.0666666666666669,1.0,15,1.0,0.4,6,0.6857142857142857,0.0,0,0.0,21833,148,0,1413139073000.0,1277455945000.0,40676,1413139121000.0,1413148956000.0,6043640801020.408,48000.0,9883000.0
