is_rumor,thread,in_reply_tweet,event,tweet_id,is_source_tweet,in_reply_user,user_id,tweet_length,symbol_count,user_mentions,urls_count,media_count,hashtags_count,retweet_count,favorite_count,mentions_count,is_truncated,created,has_smile_emoji,sensitive,has_place,has_coords,has_quest,has_exclaim,has_quest_or_exclaim,user.tweets_count,user.verified,user.followers_count,user.listed_count,user.desc_length,user.handle_length,user.name_length,user.notifications,user.friends_count,user.time_zone,user.has_bg_img,user.default_pic,user.created_at,user.location,user.profile_sbcolor,user.profile_bgcolor,hasperiod,number_punct,negativewordcount,positivewordcount,capitalratio,contentlength,sentimentscore,Noun,Verb,Adjective,Pronoun,FirstPersonPronoun,SecondPersonPronoun,ThirdPersonPronoun,Adverb,has_url_in_text
1,521310417696858112,,ebola-essien,521310417696858112,1,,964926744,113,0,0,0,0,0,859,83,0,0,1413125063000.0,0,0,0,0,0,0,0,29,0,1456,1,150,11,10,0,488,London,1,1,1353617124000.0,1,12639981,12639981,1,3,0,0,0.07079646017699115,17,0.2,9,5,1,0,0,0,1,0,0
1,521310417696858112,5.213104176968581e+17,ebola-essien,521311862118711296,0,964926744.0,630241693,128,0,1,0,0,0,1,1,1,0,1413125408000.0,0,0,0,0,0,0,0,10485,0,1324,4,150,5,7,0,1098,Amsterdam,1,1,1341756259000.0,0,12639981,12639981,1,4,0,0,0.07936507936507936,18,0.2,11,4,1,0,0,0,1,0,0
1,521310417696858112,5.213104176968581e+17,ebola-essien,521313155004497920,0,964926744.0,131531989,138,0,1,0,0,0,0,1,1,0,1413125716000.0,0,0,0,0,0,0,0,44110,0,474,2,5,12,11,0,426,Pacific Time (US & Canada),1,0,1270912360000.0,1,16777215,15592681,1,3,0,0,0.08695652173913043,19,0.2,12,4,1,0,0,0,1,0,0
1,521310417696858112,5.213104176968581e+17,ebola-essien,521313840416714752,0,964926744.0,40673379,132,0,1,0,0,0,3,1,1,0,1413125879000.0,0,0,0,0,0,0,0,63297,0,2948,21,4,2,13,0,935,London,1,1,1242572876000.0,0,12639981,12639981,1,4,0,0,0.08461538461538462,19,-0.033333333333333326,12,4,1,0,0,0,1,0,0
1,521310417696858112,5.213104176968581e+17,ebola-essien,521313949351178240,0,964926744.0,1628128982,140,0,1,0,0,0,0,0,1,0,1413125905000.0,0,0,0,0,0,0,0,122143,0,1280,23,12,0,6,0,259,Amsterdam,1,1,1375025414000.0,0,12639981,12639981,0,4,0,0,0.07913669064748201,21,0.2,13,5,1,0,0,0,1,0,0
1,521310417696858112,5.213104176968581e+17,ebola-essien,521314256911077376,0,964926744.0,349230142,136,0,1,0,0,0,1,0,1,0,1413125979000.0,0,0,0,0,0,0,0,19976,0,707,3,10,3,11,0,547,London,1,0,1312572880000.0,1,16777215,12639981,1,4,0,0,0.12686567164179105,19,0.2,12,4,1,0,0,0,1,0,0
1,521310417696858112,5.213104176968581e+17,ebola-essien,521314981418385408,0,964926744.0,86334247,134,0,1,0,0,0,1,0,1,0,1413126151000.0,0,0,0,0,0,0,0,117724,0,995,3,45,5,7,0,768,London,1,0,1256916215000.0,0,16777215,16777215,1,4,0,0,0.07575757575757576,18,0.0,11,4,1,0,0,0,1,0,0
1,521310417696858112,5.213104176968581e+17,ebola-essien,521315563768147969,0,964926744.0,586131944,130,0,1,0,0,0,1,0,1,0,1413126290000.0,0,0,0,0,0,0,0,14744,0,725,0,23,5,14,0,415,London,0,0,1337562935000.0,1,16777215,1250582,1,4,0,0,0.07936507936507936,18,0.2,11,4,1,0,0,0,1,0,0
1,521310417696858112,5.213104176968581e+17,ebola-essien,521316235221692416,0,964926744.0,83657099,136,0,1,0,0,0,0,1,1,0,1413126450000.0,0,0,0,0,0,0,0,11953,0,996,2,115,3,8,0,1243,London,1,0,1255976432000.0,1,16777215,12639981,1,4,0,0,0.08270676691729323,19,0.2,12,4,1,0,0,0,1,0,0
1,521310417696858112,5.213104176968581e+17,ebola-essien,521319270534635522,0,964926744.0,964926744,137,0,0,0,0,0,226,13,0,0,1413127174000.0,0,0,0,0,0,0,0,34,0,1449,1,150,11,10,0,486,London,1,1,1353617124000.0,1,12639981,12639981,3,5,0,0,0.051094890510948905,25,0.0,9,5,2,2,1,0,1,0,0
